ID	Label	Bipartito
219	Falco punctatus	0
220	Falco rusticolus	0
221	Acinonyx jubatus	0
222	Caracal caracal	0
223	Catopuma temminckii	0
224	Felis nigripes	0
225	Herpailurus yagouaroundi	0
226	Leopardus geoffroyi	0
227	Leopardus jacobita	0
228	Leopardus pardalis	0
229	Leopardus pardalis mitis	0
230	Leopardus tigrinus	0
231	Leopardus wiedii	0
232	Lynx pardinus	0
233	Neofelis nebulosa	0
234	Panthera hybrid	0
235	Panthera leo	0
236	Panthera onca	0
237	Panthera pardus	0
238	Panthera tigris	0
239	Panthera uncia	0
240	Prionailurus bengalensis	0
241	Prionailurus bengalensis bengalensis	0
242	Puma concolor	0
243	Puma concolor couguar	0
244	Carduelis cucullata	0
245	Gavialis gangeticus	0
246	Geoclemys hamiltonii	0
247	Melanochelys tricarinata	0
248	Pangshura tecta	0
249	Grus americana	0
250	Grus japonensis	0
251	Grus leucogeranus	0
252	Grus monacha	0
253	Grus nigricollis	0
254	Grus vipio	0
255	Gorilla gorilla	0
256	Pan paniscus	0
257	Pan troglodytes	0
258	Pongo abelii	0
259	Pongo pygmaeus	0
260	Hylobates spp.	0
261	Hylobates lar	0
262	Hylobates moloch	0
263	Hylobates muelleri	0
264	Nomascus concolor	0
265	Nomascus leucogenys	0
266	Symphalangus syndactylus	0
267	Xanthopsar flavus	0
268	Brachylophus fasciatus	0
269	Brachylophus vitiensis	0
270	Cyclura cornuta	0
271	Cyclura lewisi	0
272	Cyclura nubila	0
273	Cyclura rileyi	0
274	Sauromalus varius	0
275	Avahi laniger	0
276	Propithecus diadema	0
277	Propithecus verreauxi	0
278	Dalbergia nigra	0
279	Eulemur spp.	0
280	Eulemur albifrons	0
281	Eulemur coronatus	0
282	Eulemur fulvus	0
283	Eulemur macaco	0
284	Eulemur rubriventer	0
285	Eulemur rufus	0
286	Hapalemur aureus	0
287	Hapalemur griseus	0
288	Lemur catta	0
289	Lemur fulvus	0
290	Lemuridae spp.	0
291	Varecia rubra	0
292	Varecia variegata	0
293	Lepilemur mustelinus	0
294	Romerolagus diazi	0
295	Aloe albida	0
296	Aloe alfredii	0
297	Aloe bakeri	0
298	Aloe bellatula	0
299	Aloe calcairophila	0
300	Aloe compressa	0
301	Aloe compressa var. rugosquamosa	0
302	Aloe descoingsii	0
303	Aloe fragilis	0
304	Aloe haworthioides	0
305	Aloe laeta	0
306	Aloe parvula	0
307	Aloe pillansii	0
308	Aloe polyphylla	0
309	Aloe rauhii	0
310	Aloe suzannae	0
311	Eos histrio	0
312	Dendrolagus spp.	0
313	Dyscophus antongilii	0
314	Moschus spp.	0
315	Moschus moschiferus	0
316	Lontra longicaudis	0
317	Lutra lutra	0
318	Mustela nigripes	0
319	Pteronura brasiliensis	0
320	Nepenthes khasiana	0
321	Nepenthes rajah	0
322	Cattleya spp.	0
323	Cattleya jongheana	0
324	Cattleya lobata	0
325	Cattleya skinneri	0
326	Dendrobium cruentum	0
327	Mexipedium xerophyticum	0
328	Orchidaceae spp.	0
329	Orchidaceae hybrid	0
330	Paphiopedilum spp.	0
331	Paphiopedilum acmodontum	0
332	Paphiopedilum adductum	0
333	Paphiopedilum appletonianum	0
334	Paphiopedilum argus	0
335	Paphiopedilum armeniacum	0
336	Paphiopedilum barbatum	0
337	Paphiopedilum barbigerum	0
338	Paphiopedilum bellatulum	0
339	Paphiopedilum bullenianum	0
340	Paphiopedilum callosum	0
341	Paphiopedilum charlesworthii	0
342	Paphiopedilum ciliolare	0
343	Paphiopedilum concolor	0
344	Paphiopedilum dayanum	0
345	Paphiopedilum delenatii	0
346	Paphiopedilum dianthum	0
347	Paphiopedilum druryi	0
348	Paphiopedilum emersonii	0
349	Paphiopedilum exul	0
350	Paphiopedilum fairrieanum	0
351	Paphiopedilum fowliei	0
352	Paphiopedilum glanduliferum	0
353	Paphiopedilum glaucophyllum	0
354	Paphiopedilum godefroyae	0
355	Paphiopedilum gratrixianum	0
356	Paphiopedilum haynaldianum	0
357	Paphiopedilum hennisianum	0
358	Paphiopedilum henryanum	0
359	Paphiopedilum hirsutissimum	0
360	Paphiopedilum hookerae	0
361	Paphiopedilum insigne	0
362	Paphiopedilum javanicum	0
363	Paphiopedilum kolopakingii	0
364	Paphiopedilum lawrenceanum	0
365	Paphiopedilum liemianum	0
366	Paphiopedilum lowii	0
367	Paphiopedilum malipoense	0
368	Paphiopedilum mastersianum	0
369	Paphiopedilum micranthum	0
370	Paphiopedilum moquetteanum	0
371	Paphiopedilum niveum	0
372	Paphiopedilum papuanum	0
373	Paphiopedilum parishii	0
374	Paphiopedilum philippinense	0
375	Paphiopedilum praestans	0
376	Paphiopedilum primulinum	0
377	Paphiopedilum purpuratum	0
378	Paphiopedilum randsii	0
379	Paphiopedilum rothschildianum	0
380	Paphiopedilum sanderianum	0
381	Paphiopedilum schoseri	0
382	Paphiopedilum spicerianum	0
383	Paphiopedilum stonei	0
384	Paphiopedilum sukhakulii	0
385	Paphiopedilum supardii	0
386	Paphiopedilum superbiens	0
387	Paphiopedilum tonsum	0
388	Paphiopedilum urbanianum	0
389	Paphiopedilum venustum	0
390	Paphiopedilum victoria-mariae	0
391	Paphiopedilum victoria-regina	0
392	Paphiopedilum villosum	0
393	Paphiopedilum violascens	0
394	Paphiopedilum wardii	0
395	Paphiopedilum wentworthianum	0
396	Paphiopedilum wilhelminae	0
397	Peristeria elata	0
398	Phragmipedium spp.	0
399	Phragmipedium besseae	0
400	Phragmipedium boissierianum	0
401	Phragmipedium caricinum	0
402	Phragmipedium caudatum	0
403	Phragmipedium dalessandroi	0
404	Phragmipedium hirtzii	0
405	Phragmipedium lindenii	0
406	Phragmipedium lindleyanum	0
407	Phragmipedium longifolium	0
408	Phragmipedium pearcei	0
409	Phragmipedium sargentianum	0
410	Phragmipedium schlimii	0
411	Phragmipedium vittatum	0
412	Phragmipedium warszewiczianum	0
413	Renanthera imschootiana	0
414	Tipularia cunninghamii	0
415	Vanda coerulea	0
416	Zygopetalum spp.	0
417	Scleropages formosus	0
418	Chlamydotis undulata	0
419	Pangasianodon gigas	0
420	Papilio hospiton	0
421	Pelecanus crispus	0
422	Catreus wallichii	0
423	Crossoptilon crossoptilon	0
424	Crossoptilon mantchuricum	0
425	Lophophorus impejanus	0
426	Lophura edwardsi	0
427	Lophura imperialis	0
428	Lophura swinhoii	0
429	Polyplectron napoleonis	0
430	Rheinardia ocellata	0
431	Syrmaticus ellioti	0
432	Syrmaticus humiae	0
433	Syrmaticus mikado	0
434	Tragopan blythii	0
435	Tragopan caboti	0
436	Monachus spp.	0
437	Neophocaena phocaenoides	0
438	Phocoena sinus	0
439	Physeter macrocephalus	0
440	Amazona barbadensis	0
441	Amazona brasiliensis	0
442	Amazona leucocephala	0
443	Amazona rhodocorytha	0
444	Amazona tucumana	0
445	Amazona versicolor	0
446	Amazona vinacea	0
447	Anodorhynchus glaucus	0
448	Anodorhynchus hyacinthinus	0
449	Anodorhynchus leari	0
450	Ara ambiguus	0
451	Ara glaucogularis	0
452	Ara hybrid	0
453	Ara macao	0
454	Ara militaris	0
455	Ara rubrogenys	0
456	Cyanopsitta spixii	0
457	Cyanoramphus novaezelandiae	0
458	Guarouba guarouba	0
459	Pionopsitta pileata	0
460	Primolius maracana	0
