ID	Label	Bipartito
1	Aquila heliaca	0
2	bodies	1
3	Haliaeetus albicilla	0
4	live	1
5	eggs	1
6	specimens	1
7	Ailurus fulgens	0
8	Alligator sinensis	0
9	leather products (small)	1
10	garments	1
11	Caiman latirostris	0
12	Asarcornis scutulata	0
13	Branta sandvicensis	0
14	Pachypodium baronii	0
15	Araucaria araucana	0
16	seeds	1
17	Balaena mysticetus	0
18	baleen	1
19	Balaenidae spp.	0
20	carvings	1
21	Eubalaena australis	0
22	Eubalaena japonica	0
23	Balaenoptera acutorostrata	0
24	bones	1
25	derivatives	1
26	fins	1
27	skeletons	1
28	skins	1
29	meat	1
30	Balaenoptera borealis	0
31	Balaenoptera musculus	0
32	Balaenoptera physalus	0
33	Megaptera novaeangliae	0
34	Boa constrictor occidentalis	0
35	Sanzinia madagascariensis	0
36	Bos gaurus	0
37	Capra falconeri	0
38	trophies	1
39	Capra falconeri heptneri	0
40	Capra falconeri megaceros	0
41	Gazella cuvieri	0
42	Hippotragus niger	0
43	Naemorhedus griseus	0
44	Oryx dammah	0
45	Oryx leucoryx	0
46	skulls	1
47	Buceros bicornis	0
48	Rhinoplax vigil	0
49	jewellery	1
50	Cacatua goffiniana	0
51	Cacatua moluccensis	0
52	Cacatua sulphurea	0
53	Probosciger aterrimus	0
54	Ariocarpus bravoanus	0
55	Ariocarpus fissuratus	0
56	Ariocarpus kotschoubeyanus	0
57	Ariocarpus retusus	0
58	Ariocarpus trigonus	0
59	Astrophytum asterias	0
60	cultures	1
61	Aztekium ritteri	0
62	Discocactus heptacanthus	0
63	Echinocereus ferreiranus lindsayorum	0
64	Echinocereus schmollii	0
65	Escobaria minima	0
66	Escobaria sneedii	0
67	Mammillaria pectinifera	0
68	Melocactus glaucescens	0
69	Pediocactus bradyi	0
70	Pediocactus bradyi winkleri	0
71	Pediocactus knowltonii	0
72	Pediocactus peeblesianus	0
73	Pelecyphora aselliformis	0
74	Pelecyphora strobiliformis	0
75	Sclerocactus glaucus	0
76	Strombocactus disciformis	0
77	Turbinicarpus alonsoi	0
78	Turbinicarpus beguinii	0
79	Turbinicarpus gielsdorfianus	0
80	Turbinicarpus pseudopectinatus	0
81	Turbinicarpus saueri	0
82	Turbinicarpus schmiedickeanus	0
83	Turbinicarpus subterraneus	0
84	Turbinicarpus swobodae	0
85	Turbinicarpus valdezianus	0
