ID	Label	Bipartito
1	Aquila heliaca	0
2	T	1
3	Haliaeetus albicilla	0
4	Z	1
5	P	1
6	S	1
7	Ailurus fulgens	0
8	Alligator sinensis	0
9	Caiman latirostris	0
10	Asarcornis scutulata	0
11	Branta sandvicensis	0
12	Pachypodium baronii	0
13	Araucaria araucana	0
14	Balaena mysticetus	0
15	Balaenidae spp.	0
16	Eubalaena australis	0
17	Eubalaena japonica	0
18	Q	1
19	Balaenoptera acutorostrata	0
20	E	1
21	Balaenoptera borealis	0
22	Balaenoptera musculus	0
23	Balaenoptera physalus	0
24	Megaptera novaeangliae	0
25	Boa constrictor occidentalis	0
26	Sanzinia madagascariensis	0
27	Bos gaurus	0
28	Capra falconeri	0
29	H	1
30	Capra falconeri heptneri	0
31	Capra falconeri megaceros	0
32	Gazella cuvieri	0
33	Hippotragus niger	0
34	Naemorhedus griseus	0
35	Oryx dammah	0
36	Oryx leucoryx	0
37	Buceros bicornis	0
38	Rhinoplax vigil	0
39	Cacatua goffiniana	0
40	Cacatua moluccensis	0
41	Cacatua sulphurea	0
42	Probosciger aterrimus	0
43	Ariocarpus bravoanus	0
44	Ariocarpus fissuratus	0
45	Ariocarpus kotschoubeyanus	0
46	Ariocarpus retusus	0
47	Ariocarpus trigonus	0
48	Astrophytum asterias	0
49	Aztekium ritteri	0
50	Discocactus heptacanthus	0
51	Echinocereus ferreiranus lindsayorum	0
52	Echinocereus schmollii	0
53	Escobaria minima	0
54	Escobaria sneedii	0
55	Mammillaria pectinifera	0
56	Melocactus glaucescens	0
57	Pediocactus bradyi	0
58	Pediocactus bradyi winkleri	0
59	Pediocactus knowltonii	0
60	Pediocactus peeblesianus	0
61	Pelecyphora aselliformis	0
62	Pelecyphora strobiliformis	0
63	Sclerocactus glaucus	0
64	Strombocactus disciformis	0
65	Turbinicarpus alonsoi	0
66	Turbinicarpus beguinii	0
67	Turbinicarpus gielsdorfianus	0
68	Turbinicarpus pseudopectinatus	0
69	Turbinicarpus saueri	0
70	Turbinicarpus schmiedickeanus	0
71	Turbinicarpus subterraneus	0
72	Turbinicarpus swobodae	0
73	Turbinicarpus valdezianus	0
74	Uebelmannia pectinifera	0
75	Vicugna vicugna	0
76	Speothos venaticus	0
77	B	1
78	Callimico goeldii	0
79	Leontopithecus chrysomelas	0
80	Leontopithecus rosalia	0
81	Saguinus oedipus	0
82	M	1
83	Cercopithecus diana	0
84	Macaca silenus	0
85	Macaca sylvanus	0
86	Mandrillus sphinx	0
87	Pygathrix cinerea	0
88	Pygathrix nemaeus	0
89	Pygathrix nigripes	0
90	Rhinopithecus avunculus	0
91	Semnopithecus entellus	0
92	Rucervus duvaucelii	0
93	Rucervus eldii	0
94	Microcebus berthae	0
95	Microcebus lehilahytsara	0
96	Microcebus murinus	0
97	Microcebus ravelobensis	0
98	Microcebus rufus	0
99	Microcebus sambiranensis	0
100	Microcebus tavaratra	0
101	Caretta caretta	0
102	Chelonia mydas	0
103	Cheloniidae spp.	0
104	L	1
105	Eretmochelys imbricata	0
106	Lepidochelys olivacea	0
107	Natator depressus	0
108	Caloenas nicobarica	0
109	Saussurea costus	0
110	Mitu mitu	0
111	Crocodylus acutus	0
112	Crocodylus moreletii	0
113	Crocodylus niloticus	0
114	Crocodylus palustris	0
115	Crocodylus porosus	0
116	Crocodylus siamensis	0
117	Osteolaemus tetraspis	0
118	Dugong dugon	0
119	Elephantidae spp.	0
120	Elephas maximus	0
121	Loxodonta spp.	0
122	Loxodonta africana	0
123	Glyptemys muhlenbergii	0
124	Equus africanus	0
125	Equus hemionus	0
126	Equus przewalskii	0
127	N	1
128	Euphorbia ambovombensis	0
129	Euphorbia cylindrifolia	0
130	Euphorbia decaryi	0
131	Euphorbia francoisii	0
132	Euphorbia moratii	0
133	Falco hybrid	0
134	Falco jugger	0
135	Falco newtoni	0
136	Falco pelegrinoides	0
137	Falco pelegrinoides babylonicus	0
138	Falco peregrinus	0
139	Falco peregrinus peregrinus	0
140	Falco rusticolus	0
141	Acinonyx jubatus	0
142	Leopardus geoffroyi	0
143	Leopardus pardalis	0
144	Lynx pardinus	0
145	Neofelis nebulosa	0
146	Panthera spp.	0
147	Panthera leo	0
148	Panthera onca	0
149	Panthera pardus	0
150	Panthera tigris	0
151	Panthera uncia	0
152	Carduelis cucullata	0
153	Gavialis gangeticus	0
154	Lygodactylus williamsi	0
155	Grus japonensis	0
156	Grus nigricollis	0
157	Grus vipio	0
158	Gorilla gorilla	0
159	Pan paniscus	0
160	Pan troglodytes	0
161	Pongo abelii	0
162	Pongo pygmaeus	0
163	Hylobates lar	0
164	Hylobates pileatus	0
165	Nomascus annamensis	0
166	Nomascus gabriellae	0
167	Nomascus siki	0
168	Symphalangus syndactylus	0
169	Brachylophus bulabula	0
170	Brachylophus fasciatus	0
171	Cyclura cornuta	0
172	Cyclura lewisi	0
173	Propithecus verreauxi	0
