ID	Label	Bipartito
1	Aquila heliaca	0
2	bodies	1
3	live	1
4	Haliaeetus albicilla	0
5	specimens	1
6	feathers	1
7	Haliaeetus leucocephalus	0
8	Harpia harpyja	0
9	carvings	1
10	Agave parviflora	0
11	seeds	1
12	Ailurus fulgens	0
13	Alligator sinensis	0
14	leather products (small)	1
15	Caiman crocodilus apaporiensis	0
16	skulls	1
17	shoes	1
18	Caiman latirostris	0
19	Melanosuchus niger	0
20	skins	1
21	Anas aucklandica	0
22	Anas chlorotis	0
23	Anas laysanensis	0
24	Asarcornis scutulata	0
25	Branta canadensis leucopareia	0
26	trophies	1
27	Branta sandvicensis	0
28	Pachypodium baronii	0
29	Balaena spp.	0
30	bones	1
31	Balaena mysticetus	0
32	bone carvings	1
33	Eubalaena australis	0
34	Eubalaena glacialis	0
35	Balaenoptera acutorostrata	0
36	Balaenoptera edeni	0
37	skeletons	1
38	Balaenoptera musculus	0
39	Balaenoptera physalus	0
40	Megaptera novaeangliae	0
41	Acrantophis spp.	0
42	Acrantophis dumerili	0
43	Acrantophis madagascariensis	0
44	Boa constrictor	0
45	Boa constrictor occidentalis	0
46	Epicrates inornatus	0
47	Epicrates subflavus	0
48	Sanzinia madagascariensis	0
49	Addax nasomaculatus	0
50	Bison bison athabascae	0
51	teeth	1
52	Bos gaurus	0
53	Bos mutus	0
54	unspecified	1
55	skin pieces	1
56	Capra falconeri	0
57	Capricornis sumatraensis	0
58	horns	1
59	horn products	1
60	Naemorhedus goral	0
61	Nanger dama	0
62	Oryx dammah	0
63	Oryx leucoryx	0
64	Ovis gmelini	0
65	Ovis hodgsoni	0
66	Pantholops hodgsonii	0
67	garments	1
68	hair products	1
69	Buceros bicornis	0
70	Buceros bicornis homrai	0
71	Rhinoplax vigil	0
72	Cacatua goffiniana	0
73	Cacatua haematuropygia	0
74	Cacatua moluccensis	0
75	Probosciger aterrimus	0
76	Ariocarpus spp.	0
77	Ariocarpus agavoides	0
78	Ariocarpus fissuratus	0
79	Ariocarpus kotschoubeyanus	0
80	Ariocarpus retusus	0
81	Ariocarpus scaphirostris	0
82	Ariocarpus trigonus	0
83	Astrophytum asterias	0
84	Aztekium ritteri	0
85	Cactaceae spp.	0
86	Coryphantha werdermannii	0
87	Discocactus spp.	0
88	Discocactus bahiensis	0
89	Discocactus catingicola	0
90	Discocactus ferricola	0
91	Discocactus hartmannii	0
