ID	Label	Longitud	Latidud
1	CN	116.383333	39.916666666666664
2	FR	2.333333	48.86666666666667
3	CZ	14.466667	50.083333333333336
4	KZ	71.416667	51.166666666666664
5	DE	13.400000	52.516666666666666
6	CH	7.466667	46.916666666666664
7	DK	12.583333	55.666666666666664
8	IS	-21.950000	64.15
9	IM	-4.483333	54.15
10	BE	4.333333	50.833333333333336
11	TR	32.866667	39.93333333333333
12	IT	12.483333	41.9
13	JP	139.750000	35.68333333333333
14	GB	-0.083333	51.5
15	NO	10.750000	59.916666666666664
16	SG	103.850000	1.2833333333333332
17	AO	13.216667	-8.833333333333334
18	NL	4.916667	52.35
19	PK	73.050000	33.68333333333333
20	KR	126.983333	37.55
21	CL	-70.666667	-33.45
22	RU	37.600000	55.75
23	US	-77.000000	38.883333
24	GL	-51.750000	64.18333333333334
25	AU	149.133333	-35.266666666666666
26	ZA	28.216667	-25.7
27	ES	-3.683333	40.4
28	FO	-6.766667	62
29	CA	-75.700000	45.416666666666664
30	MA	-6.816667	34.016666666666666
31	BY	27.566667	53.9
32	IN	77.200000	28.6
33	AT	16.366667	48.2
34	TJ	68.766667	38.55
35	AE	54.366667	24.466666666666665
36	HU	19.083333	47.5
37	MX	-99.133333	19.433333333333334
38	TN	10.183333	36.8
39	ID	106.816667	-6.166666666666667
40	PL	21.000000	52.25
41	EE	24.716667	59.43333333333333
42	OM	58.583333	23.616666666666667
43	SE	18.050000	59.333333333333336
44	SK	17.116667	48.15
45	IL	35.233333	31.766666666666666
46	PT	-9.133333	38.71666666666667
47	HK	0.000000	0
48	BD	90.400000	23.716666666666665
49	MD	28.850000	47
50	UA	30.516667	50.43333333333333
51	CD	15.300000	-4.316666666666666
52	GT	-90.516667	14.616666666666667
53	PA	-79.533333	8.966666666666667
54	CY	33.366667	35.166666666666664
55	PH	120.966667	14.6
56	HR	16.000000	45.8
57	RS	20.500000	44.833333333333336
58	TH	100.516667	13.75
59	VN	105.850000	21.033333333333335
60	CW	-68.916667	12.1
61	GE	44.833333	41.68333333333333
62	LT	25.316667	54.68333333333333
63	MC	7.416667	43.733333333333334
64	CI	-5.266667	6.816666666666666
65	MG	47.516667	-18.916666666666668
66	UY	-56.166667	-34.85
67	BR	-47.916667	-15.783333333333333
68	ST	6.733333	0.3333333333333333
69	JE	-2.100000	49.18333333333333
70	EG	31.250000	30.05
71	AR	-58.666667	-34.583333333333336
72	QA	51.533333	25.283333333333335
73	MY	101.700000	3.1666666666666665
74	VE	-66.866667	10.483333333333333
75	AZ	49.866667	40.38333333333333
76	BL	-62.850000	17.883333333333333
77	CO	-74.083333	4.6
78	UZ	69.250000	41.31666666666667
79	BZ	-88.766667	17.25
80	IQ	44.400000	33.333333333333336
81	BM	-64.783333	32.28333333333333
82	SN	-17.633333	14.733333333333333
83	KW	47.966667	29.366666666666667
84	MO	0.000000	0
85	BH	50.566667	26.233333333333334
86	GQ	8.783333	3.75
87	LB	35.500000	33.86666666666667
88	TM	58.383333	37.95
89	NC	166.450000	-22.266666666666666
90	CU	-82.350000	23.116666666666667
91	GG	-2.533333	49.45
92	LK	79.833333	6.916666666666667
93	HN	-87.216667	14.1
94	NZ	174.783333	-41.3
95	NA	17.083333	-22.566666666666666
96	FI	24.933333	60.166666666666664
97	MM	96.150000	16.8
98	GR	23.733333	37.983333333333334
99	MK	21.433333	42
100	LI	9.516667	47.13333333333333
101	ZM	28.283333	-15.416666666666666
102	BS	-77.350000	25.083333333333332
103	KE	36.816667	-1.2833333333333332
104	MZ	32.583333	-25.95
105	TZ	39.283333	-6.8
106	ZW	31.033333	-17.816666666666666
107	GH	-0.216667	5.55
108	JO	35.933333	31.95
109	RO	26.100000	44.43333333333333
110	MT	14.500000	35.88333333333333
111	GA	9.450000	0.38333333333333336
112	MN	106.916667	47.916666666666664
113	SI	14.516667	46.05
114	SA	46.700000	24.65
115	GI	-5.350000	36.13333333333333
116	AM	44.500000	40.166666666666664
117	DZ	3.050000	36.75
118	PE	-77.050000	-12.05
119	LV	24.100000	56.95
120	CF	18.583333	4.366666666666666
121	BT	89.633333	27.466666666666665
122	LY	13.166667	32.88333333333333
123	ET	38.700000	9.033333333333333
124	BA	18.416667	43.86666666666667
125	CV	-23.516667	14.916666666666666
126	CG	15.283333	-4.25
127	NG	7.533333	9.083333333333334
128	SL	-13.233333	8.483333333333333
129	UG	32.550000	0.31666666666666665
130	GN	-13.700000	9.5
131	GW	-15.583333	11.85
132	KP	125.750000	39.016666666666666
133	EC	-78.500000	-0.21666666666666667
134	MR	-15.966667	18.066666666666666
135	SR	-55.166667	5.833333333333333
136	MU	57.483333	-20.15
137	DM	-61.400000	15.3
138	BB	-59.616667	13.1
139	MV	73.500000	4.166666666666667
140	IR	51.416667	35.7
141	BG	23.316667	42.68333333333333
142	SX	-63.033333	18.016666666666666
143	AD	1.516667	42.5
144	AW	-70.033333	12.516666666666667
145	BI	29.350000	-3.3666666666666667
146	SY	36.300000	33.5
147	TT	-61.516667	10.65
148	BW	25.900000	-24.633333333333333
149	LS	27.483333	-29.316666666666666
150	NP	85.316667	27.716666666666665
151	CR	-84.083333	9.933333333333334
152	BN	114.933333	4.883333333333333
153	AG	-61.850000	17.116666666666667
154	AL	19.816667	41.31666666666667
155	BJ	2.616667	6.483333333333333
156	BO	-68.150000	-16.5
157	CM	11.516667	3.8666666666666667
158	JM	-76.800000	18
159	DO	-69.900000	18.466666666666665
160	GD	-61.750000	12.05
161	KG	74.600000	42.86666666666667
162	KH	104.916667	11.55
163	KY	-81.383333	19.3
164	LA	102.600000	17.966666666666665
165	LC	-61.000000	14
166	ME	19.266667	42.43333333333333
167	MF	-63.082200	18.0731
168	PF	-149.566667	-17.533333333333335
169	PM	-56.183333	46.766666666666666
170	PY	-57.666667	-25.266666666666666
