ID	Label
308	Revenge of the Nerds IV: Nerds in Love
309	The Last Unicorn
310	Cocoon
311	Rio Bravo
312	Pokamon: Destiny Deoxys
313	Escaflowne
314	Baby Boy
315	Panic
316	What's New Pussycat?
317	Gallipoli
318	Rules of Engagement
319	Shaft
320	The Rose
321	Blade: Trinity
322	Merlin
323	King of Hearts
324	Get Over It
325	Mighty Morphin' Power Rangers: The Movie
326	Flash Gordon's Trip to Mars
327	La Bamba
328	The Serpent's Egg
329	Star Trek V: The Final Frontier
330	Manhunter
331	61*
332	Body Double
333	I, the Jury
334	Are We There Yet
335	Madame X
336	The Dead Zone
337	Vincent
338	The General
339	It's All About Love
340	The Godfather Part III
341	Alice
342	Hullabaloo
343	Yu-Gi-Oh! The Movie: Pyramid of Light
344	Woodstock
345	Born in East L.A.
346	Burn Up!! A Close, Intense, Super-Fierce Battle
347	Tortilla Flat
348	Hotel Terminus: The Life and Times of Klaus Barbie
349	Nirvana
350	Ratatouille
351	Robots
352	The Wizard of Oz
353	I, Robot
354	Elf
355	She's Having a Baby
356	It's a Mad, Mad, Mad, Mad World
357	Eragon
358	X
359	Final Fantasy: The Spirits Within
360	Bent
361	Wild Strawberries
362	Barcelona
363	Sabrina
364	Lancelot du Lac
365	Wicker Park
366	Saved!
367	The Gun in Betty Lou's Handbag
368	Dead Men Don't Wear Plaid
369	The Set-Up
370	Magnolia
371	Porky's Hare Hunt
372	Live from Baghdad
373	That's Entertainment III
374	Mr. Nice Guy
375	Spartan
376	Mostly Martha
377	Agent Cody Banks 2: Destination London
378	The Protector
379	She's Gotta Have It
380	Tobruk
381	Star Wars Episode VI: Return of the Jedi
382	Film
383	A Night at the Opera
384	Young Dr. Kildare
385	Babette's Feast
386	For Love or Country: The Arturo Sandoval Story
387	Hamlet
388	Samson and Delilah
389	In My Father's Den
390	From Time to Time/De Temps en Temps
391	The R.M.
392	The Lawnmower Man
393	Deterrence
394	Sleepers
395	Starsky & Hutch
396	Child's Play
397	Good Morning
