Actor;Movies
Terry Chen;Ballistic: Ecks vs. Sever|I, Robot
Angela Bassett;Malcolm X|Strange Days|The Jacksons: An American Dream|Contact|What's Love Got to Do with It|The Score
Jang Dong-gun;Taegukgi|Anarchists
Ben Kingsley;Sneakers|Thunderbirds|Gandhi|Species|Dave|Schindler's List|A.I.|A Sound of Thunder|Rules of Engagement
Alberta Watson;Hackers|The Keep
Martha Plimpton;Running on Empty|Mrs. Parker and the Vicious Circle
Michelle Pfeiffer;Wolf|Scarface|Sinbad: Legend of the Seven Seas|Tequila Sunrise|Love Field
Reginald Denny;Bulldog Drummond's Secret Police|Romeo and Juliet
Marcel Iureo;Hart's War|Layer Cake
Nicky Katt;Full Frontal|Boiler Room|Sin City|Riding the Bullet|Dazed and Confused|Speakeasy|The 'Burbs
Julia Sweeney;Beethoven's 4th|Beethoven's 3rd
Cree Summer;Rugrats in Paris: The Movie|Atlantis: The Lost Empire|Atlantis: Milo's Return
Leo Fitzpatrick;Bully|Kids
Matthew Broderick;Ferris Bueller's Day Off|Project X|Godzilla|The Lion King 1Â½|Addicted to Love|Mrs. Parker and the Vicious Circle|Election|The Stepford Wives|The Lion King II: Simba's Pride|Glory|Good Boy!
Richard Masur;Walker|John Carpenter's The Thing|My Girl|Heaven's Gate|It
Irene Browne;The Letter|The Letter
Anne Archer;Man of the House|Superman|Rules of Engagement
Jean Hersholt;Alexander's Ragtime Band|Grand Hotel|Greed
Lillian Gish;The Night of the Hunter|Intolerance
Baby LeRoy;It's a Gift|Alice in Wonderland
Ward Bond;The Searchers|Young Mr. Lincoln|Rio Bravo
Kevin Michael Richardson;Lilo & Stitch|Stitch! The Movie|Rapunzel|Batman: Mystery of the Batwoman
Anna Karina;Alphaville|The Stranger
Geraldine Chaplin;Chaplin|Limelight|Nashville
Vic Morrow;Twilight Zone: The Movie|Dirty Mary, Crazy Larry|Bad News Bears
Marilou Berry;Look at Me|Look at Me
M. C. Gainey;The Dukes of Hazzard|The Haunting
Agnes Moorehead;How the West Was Won|The Swan
David Ogden Stiers;Magic|Lilo & Stitch|Pocahontas|The Hunchback of Notre Dame|Atlantis: The Lost Empire|Beauty and the Beast: The Enchanted Christmas|Stitch! The Movie|Beauty and the Beast|Batman: Mystery of the Batwoman
Kathy Baker;Cold Mountain|All the King's Men
Christopher Lloyd;Clue|DuckTales the Movie: Treasure of the Lost Lamp|The Net|Anastasia|Hey Arnold!: The Movie
Freddie Jones;The Black Cauldron|Dune|Firefox|The Count of Monte Cristo|Wild at Heart
Maddie Blaustein;Pokamon: Lucario and the Mystery of Mew|Pokamon: Legend Comes to Life|Pokamon: Destiny Deoxys|Pokamon: Jirachi Wishmaker
Paula Jai Parker;Friday|Phone Booth
Jon Polito;Fluke|Miller's Crossing|The Man Who Wasn't There|The Crow
Dominic Monaghan;The Lord of the Rings: The Two Towers|The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King
Courtney Thorne-Smith;Summer School|Revenge of the Nerds II: Nerds in Paradise|Chairman of the Board|Lucas
Stacy Linn Ramsower;The Baby-Sitters Club|The Baby-Sitters Club
Macaulay Culkin;Saved!|My Girl|Home Alone 2: Lost in New York|The Good Son
Olek Krupa;Behind Enemy Lines|Blue Streak
Yukie Nakama;Love & Pop|Ring 0: Birthday
Fiona Shaw;The Avengers|Harry Potter and the Order of the Phoenix|Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Super Mario Bros.|Harry Potter and the Prisoner of Azkaban
Doug Jones;Adaptation|Doom
Robert Vaughn;The Ten Commandments|S.O.B.
Doris Day;Teacher's Pet|Love Me or Leave Me|Calamity Jane|Pillow Talk
Roseanne Barr;Cecil B. Demented|Look Who's Talking Too
Peter Falk;Made|The Party|It's a Mad, Mad, Mad, Mad World|Murder, Inc.|The Princess Bride
Elden Henson;She's All That|O
Amanda Sandrelli;Nirvana|Nirvana
Chris O'Donnell;Kinsey|Batman & Robin
Colm Feore;The Insider|Chicago|Pearl Harbor
Tyrone Power;Brigham Young|Marie Antoinette|Alexander's Ragtime Band|The Luck of the Irish|The Mark of Zorro
Cedric Hardwicke;Becky Sharp|Rope|Richard III|The Hunchback of Notre Dame|Les Miserables|Suspicion|Wilson
John Houseman;John Carpenter's The Fog|Rollerball
Henry Silva;Ghost Dog: The Way of the Samurai|Above the Law|The Manchurian Candidate
Leslie Mann;Orange County|Big Daddy
Bodil Kjer;Babette's Feast|Babette's Feast
Tracy Morgan;Are We There Yet|Head of State
Carole Lombard;Mr. & Mrs. Smith|To Be or Not to Be|Twentieth Century|High Voltage
Antonio Fargas;Car Wash|I'm Gonna Git You Sucka|Foxy Brown
Toyah Willcox;Jubilee|Quadrophenia
Rufus Sewell;Martha, Meet Frank, Daniel and Laurence|A Knight's Tale|Hamlet
Joey Lauren Adams;A Cool, Dry Place|Big Daddy|Dazed and Confused
George Clooney;The Thin Red Line|Three Kings|O Brother, Where Art Thou?|Curdled|South Park: Bigger, Longer & Uncut|Ocean's Twelve|Batman & Robin
Sean Connery;The Avengers|The Rock|Marnie|Robin Hood: Prince of Thieves|Meteor|Entrapment|The Longest Day|Outland|Darby O'Gill and the Little People
David Alan Grier;BAADASSSSS!|The Muppets' Wizard of Oz|A Soldier's Story
Ikue Otani;Pokamon: Jirachi Wishmaker|Pokamon: Legend Comes to Life|Pokamon: Destiny Deoxys|Pokamon: Lucario and the Mystery of Mew
Richard Roundtree;Shaft's Big Score|Diamonds|Antitrust|Earthquake|Shaft|Shaft|Inchon
Shia LaBeouf;Constantine|Charlie's Angels: Full Throttle|I, Robot
Estelle Getty;Mask|Mannequin
Jack Weston;The Incredible Mr. Limpet|Rad
Kathryn Beaumont;Alice in Wonderland|Peter Pan
Tully Marshall;Thunderbolt|Intolerance
Halle Berry;The Flintstones|Swordfish|Catwoman|Monster's Ball|X-Men|Robots|X2
Vincent Perez;The Crow: City of Angels|Indochine
Frank Lovejoy;House of Wax|Strategic Air Command
Helen Mirren;Caligula|Teaching Mrs. Tingle|2010: The Year We Make Contact|The Fiendish Plot of Dr. Fu Manchu|O Lucky Man!|Excalibur
Amy Brenneman;Fear|Daylight|Heat
Charlotte Skeoch;Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire
Sanaa Lathan;AVP: Alien vs. Predator|Blade
Mike Epps;Resident Evil: Apocalypse|Dr. Dolittle 2
Jo Van Fleet;Gunfight at the O.K. Corral|I'll Cry Tomorrow|East of Eden
Margaret Colin;Independence Day|The Devil's Own|First Daughter|Something Wild|Unfaithful
Daniel Richter;2001: A Space Odyssey|2001: A Space Odyssey
F. Murray Abraham;Amadeus|Star Trek: Insurrection|Mimic|Scarface
Lori Petty;Point Break|Prey for Rock & Roll
Rick Overton;Willow|Groundhog Day
Sterling Holloway;Snow White and the Seven Dwarfs|Alice in Wonderland|It's a Mad, Mad, Mad, Mad World|The Jungle Book
Jean Smart;The Kid|Sweet Home Alabama|Garden State|Guinevere
Jordi Molli ;Blow|The Alamo|Elizabeth: The Golden Age|Second Skin
Reese Witherspoon;Twilight|Legally Blonde 2: Red, White & Blonde|Little Nicky|Fear|Vanity Fair|Sweet Home Alabama|Election|Freeway
Jonny Lee Miller;Hackers|Trainspotting
Nell Carter;Hair
Jean Seberg;Bonjour tristesse|Airport
Erich von Stroheim;Grand Illusion|Sunset Boulevard
Chris Kattan;Delgo|Santa's Slay|House on Haunted Hill
Josh Lucas;Hulk|Sweet Home Alabama
Loretta Young;The Farmer's Daughter|Kentucky|The Bishop's Wife
Beyonce;Carmen: A Hip Hopera|Ray|Austin Powers: Goldmember
Robert Newton;Around the World in Eighty Days|Oliver Twist|Les Miserables|Henry V
Gary Busey;Black Sheep|Soldier|Point Break
Christopher Reeve;Monsignor|Superman|Somewhere in Time|Superman IV: The Quest For Peace|Deathtrap
Isuzu Yamada;Yojimbo|Yojimbo
Christopher Walken;Pulp Fiction|The Funeral|Homeboy|America's Sweethearts|Man on Fire|New Rose Hotel|Sleepy Hollow|The Stepford Wives|Brainstorm|The Dead Zone|Heaven's Gate|Wayne's World 2|Domino
Ronald Lacey;Firefox|Flesh & Blood
William S. Hart;Hell's Hinges|Ben Hur
Mark Wahlberg;I heart Huckabees|Fear|Three Kings|Rock Star|Planet of the Apes
George Bancroft;Thunderbolt|Stagecoach
Sean Schemmel;Pokamon: Lucario and the Mystery of Mew|Clash!! 10,000,000,000 Powerful Warriors|Rebirth of Fusion!! Goku and Vegeta!!|Pokamon: Destiny Deoxys|Burn Up!! A Close, Intense, Super-Fierce Battle
Robin Wright Penn;State of Grace|Toys|How to Kill Your Neighbor's Dog|The Pledge|The Singing Detective|The Princess Bride
Linda Hunt;Dragonfly|Dune|Pocahontas|Popeye
Wesley Addy;Tora! Tora! Tora!|Network
Ewan Stewart;Titanic|Conspiracy
Red West;Road House|The Rainmaker
Tom Cruise;Collateral|Top Gun|Mission: Impossible II|Magnolia|Minority Report|Mission: Impossible|The Firm|Austin Powers: Goldmember|Endless Love|Legend|Cocktail|War of the Worlds
Jeff Morrow;This Island Earth|Kronos
Jessie Royce Landis;The Swan|My Foolish Heart|To Catch a Thief
Norman Wooland;Hamlet|Quo Vadis
Murray Hamilton;1941|Jaws
Max von Sydow;Dreamscape|Dune|What Dreams May Come|The Exorcist|Minority Report|Exorcist II: The Heretic
Glenda Jackson;Women in Love|Mary, Queen of Scots|Hedda|Hopscotch
Huang Wenyong;Homerun|Homerun
Kim Greist;Brazil|Manhunter|C.H.U.D.
Arthur O'Connell;Bus Stop|The Poseidon Adventure
Rudolf Klein-Rogge;Das Testament des Dr. Mabuse|Metropolis
Mariska Hargitay;Lake Placid|Mighty Morphin' Power Rangers: The Movie
Curtis Armstrong;Revenge of the Nerds III: The Next Generation|Revenge of the Nerds II: Nerds in Paradise|Revenge of the Nerds IV: Nerds in Love|Ray
Sandra Bullock;Speed 2: Cruise Control|Demolition Man|Speed|The Net
Mandy Patinkin;Alien Nation|Impromptu|The Princess Bride
George Takei;The Green Berets|Star Trek: The Motion Picture|Star Trek VI: The Undiscovered Country|Star Trek II: The Wrath of Khan|Star Trek III: The Search for Spock|Star Trek IV: The Voyage Home|Star Trek V: The Final Frontier
Denis Leary;Monument Ave.|Demolition Man|Ice Age|A Bug's Life|Judgment Night
Rick Gonzalez;Old School|War of the Worlds
Ray Romano;Ice Age|Eulogy
Peter Fonda;Easy Rider|Dirty Mary, Crazy Larry|John Carpenter's Escape from L.A.|Ulee's Gold|The Trip
Luke Wilson;Anchorman: The Legend of Ron Burgundy|Bongwater|Dog Park|Legally Blonde 2: Red, White & Blonde|Blue Streak|Home Fries|Alex & Emma|Charlie's Angels: Full Throttle|Bottle Rocket|My Dog Skip|Committed|Old School
Kylie Minogue;Street Fighter|Moulin Rouge!|The Delinquents
Joe Don Baker;Criminal Law|Congo|Cape Fear
Bette Davis;Jezebel|The Nanny|The Star|Now, Voyager|Juarez|Dead Men Don't Wear Plaid|Dangerous|The Letter
Artie Lange;Dirty Work|Elf|Old School
Maureen O'Sullivan;The Thin Man|A Day at the Races|Personal History, Adventures, Experience, and Observation of David Copperfield the Younger
Jason Marin;The Little Mermaid|The Little Mermaid
Margaret Dumont;Saps at Sea|Animal Crackers
Stephen Dillane;Hamlet|King Arthur
Ciaran Hinds;Veronica Guerin|The Phantom of the Opera|Lara Croft Tomb Raider: The Cradle of Life
Roscoe Karns;Wings|Twentieth Century
Claudia Schiffer;Black and White
Vin Diesel;Boiler Room|XXX|The Fast and the Furious|The Chronicles of Riddick: Dark Fury
Isabella Rossellini;Immortal Beloved|Fearless|Cousins|The Funeral|Wild at Heart|Merlin
Jesse Bradford;Romeo + Juliet|King of the Hill|Hackers|Bring It On|My Blue Heaven|Eulogy
Josh Charles;The Grave|S.W.A.T.|Don't Tell Mom the Babysitter's Dead
Richard Anderson;Tora! Tora! Tora!|Gettysburg
Douglas Wilmer;The Fall of the Roman Empire|Richard III|El Cid|Jason and the Argonauts
Bill Goldberg;Looney Tunes: Back in Action|Santa's Slay
George C. Scott;The Hindenburg|Angus|Patton|Hardcore|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
John Getz;The Fly|Don't Tell Mom the Babysitter's Dead
Warwick Davis;The Hitchhiker's Guide to the Galaxy|Harry Potter and the Half-Blood Prince|Ewoks: The Battle for Endor|Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire|Harry Potter and the Order of the Phoenix|Willow|Harry Potter and the Philosopher's Stone|Harry Potter and the Prisoner of Azkaban|Caravan of Courage: An Ewok Adventure
Corey Haim;National Lampoon's Last Resort|Lucas
Robert Culp;PT 109|Santa's Slay|Bob & Carol & Ted & Alice
Jane Withers;The Hunchback of Notre Dame|Bright Eyes
Alice Playten;Doug's 1st Movie|Legend
David Arkin;MASH|Nashville
Robert Carlyle;Eragon|Trainspotting
James Fox;Greystoke - The Legend of Tarzan, Lord of the Apes|Performance|Charlie and the Chocolate Factory|King Rat
Bonnie Wright;Harry Potter and the Half-Blood Prince|Harry Potter and the Chamber of Secrets|Harry Potter and the Order of the Phoenix|Harry Potter and the Goblet of Fire
Walt Disney;Fantasia|Donald's Cousin Gus
Martin Landau;Ed Wood|City Hall|Tucker: The Man and His Dream|The X Files|Rounders|By Dawn's Early Light|The Adventures of Pinocchio
Skye McCole Bartusiak;Don't Say a Word|Boogeyman
Cole Hauser;Paparazzi|Dazed and Confused|Hart's War
Jackie Earle Haley;All the King's Men|Bad News Bears
Kevin Conroy;Batman & Mr. Freeze: SubZero|Batman: Mask of the Phantasm|Batman: Mystery of the Batwoman|Batman Beyond: Return of the Joker
Dorian Harewood;Levity|Assault on Precinct 13|Glitter
Michael Winslow;Police Academy|Police Academy 2: Their First Assignment
Natalia Tena;Harry Potter and the Half-Blood Prince|Harry Potter and the Order of the Phoenix
Kim Coates;The Island|Hostage|Assault on Precinct 13
Brian Keith;Hooper|The Russians Are Coming, the Russians Are Coming|Meteor
Margaret Sheridan;I, the Jury|The Thing|The Thing
Chuck Norris;Invasion U.S.A.|Dodgeball: A True Underdog Story
Jeffrey Kramer;Clue|Jaws
Edward Norton;Kingdom of Heaven|Primal Fear|The People vs. Larry Flynt|25th Hour|The Score|Red Dragon|Rounders|Fight Club
Tatum O'Neal;Paper Moon|Bad News Bears
Martin Scorsese;Dreams|Round Midnight
Veronica Lake;Sullivan's Travels|Dead Men Don't Wear Plaid|So Proudly We Hail!
Kiefer Sutherland;1969|Freeway|Mickey's Twice Upon a Christmas|Twin Peaks: Fire Walk With Me|Promised Land|Stand by Me|The Vanishing|Phone Booth|Taking Lives
Kurtwood Smith;Star Trek VI: The Undiscovered Country|Deep Impact
James Spader;Wolf|sex, lies and videotape|Wall Street|Secretary|Mannequin|True Colors|Endless Love|Stargate
Derek Jacobi;Henry V|Little Dorrit|Underworld: Evolution|Hamlet
David Johansen;Mr. Nanny|Tales from the Darkside: The Movie
Bill Duke;Car Wash|Commando|Predator
Emil Jannings;The Last Command|The Way of All Flesh|Faust
Joseph Cotten;The Farmer's Daughter|Tora! Tora! Tora!|Love Letters|Dr. Phibes Rises Again|Heaven's Gate
Viveka Davis;Morgan Stewart's Coming Home|PCU
Marisa Tomei;Chaplin|Someone Like You|Alfie|Anger Management|The Guru
Elias Koteas;Ararat|The Thin Red Line|Exotica|Tucker: The Man and His Dream|Collateral Damage|Fallen|Look Who's Talking Too
Haing S. Ngor;Heaven & Earth|The Killing Fields
Ava Gardner;Show Boat|Earthquake|Dead Men Don't Wear Plaid
Treat Williams;The Devil's Own|Hair|1941
Sergio Castellitto;Don't Move|Mostly Martha
Jack O'Halloran;King Kong|Superman
Don Ameche;Cocoon|Alexander's Ragtime Band|Homeward Bound: The Incredible Journey|Cocoon: The Return|Heaven Can Wait
Shawnee Smith;Summer School|The Island|Saw|Who's Harry Crumb?|Armageddon
Forest Whitaker;Panic Room|Species|Phenomenon|Ghost Dog: The Way of the Samurai|Phone Booth|Platoon|Bloodsport
Stephen Fry;The Hitchhiker's Guide to the Galaxy|Blackadder: Back & Forth|Whatever Happened to Harold Smith?|Peter's Friends|Wilde
Christian Slater;Alone in the Dark|Churchill: The Hollywood Years|Tucker: The Man and His Dream|Austin Powers: International Man of Mystery|Robin Hood: Prince of Thieves|The Wizard|Broken Arrow|Tales from the Darkside: The Movie|Pump Up the Volume|The Contender
Nigel Davenport;Peeping Tom|Mary, Queen of Scots|Greystoke - The Legend of Tarzan, Lord of the Apes|Caravaggio
Keira Knightley;Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: Dead Man's Chest|King Arthur|The Hole|Star Wars Episode I: The Phantom Menace|Domino
Miriam Hopkins;Becky Sharp|Dr. Jekyll and Mr. Hyde
Kathleen Turner;The War of the Roses|Prizzi's Honor
Sally Field;Hooper|Sybil|Legally Blonde 2: Red, White & Blonde|Homeward Bound: The Incredible Journey|Where the Heart Is|Murphy's Romance
Corey Burton;Atlantis: The Lost Empire|Mickey's Twice Upon a Christmas|Atlantis: Milo's Return|Robotix
Jennifer Garner;Aftershock: Earthquake in New York|Dude, Where's My Car?|Elektra|Daredevil|Pearl Harbor
Djimon Hounsou;The Island|Eragon|Amistad|Constantine|Lara Croft Tomb Raider: The Cradle of Life
Tony Leung Ka-Fai;Double Vision|Zhou Yu's Train
David Kelly;Charlie and the Chocolate Factory|Into the West
Henry Hull;Boys Town|Lifeboat|Three Comrades
Dave Thomas;Santa's Slay|Rat Race|Boris and Natasha
Teri Garr;Head|Ghost World|After Hours|Dumb & Dumber|Batman Beyond: Return of the Joker|The Black Stallion|Roustabout|Dick
Caroline Goodall;Hook|The Princess Diaries|Cliffhanger|Schindler's List
Rupert Everett;Dance with a Stranger|My Best Friend's Wedding
Patton Oswalt;Blade: Trinity|Ratatouille
Alan Napier;Batman|Marnie
Anton Rodgers;Dirty Rotten Scoundrels|Scrooge|Impromptu
Dana Delany;Tombstone|Batman: Mask of the Phantasm
Terence Stamp;The Real McCoy|Wall Street|Elektra|The Haunted Mansion|Superman|The Adventures of Priscilla, Queen of the Desert|Alien Nation|Star Wars Episode I: The Phantom Menace|Red Planet
Groucho Marx;Room Service|A Night at the Opera|Saps at Sea|Will Success Spoil Rock Hunter?|A Day at the Races|Animal Crackers|Monkey Business
Georges Wilson;The Stranger|The Stranger
Lukas Haas;Music Box|Testament|Witness
Laura Linney;P.S.|Primal Fear|Mystic River|Congo|Kinsey
Donald Faison;Can't Hardly Wait|Josie and the Pussycats
Alan Ladd;Hitler, Beast of Berlin|Dead Men Don't Wear Plaid
Christopher Plummer;Dreamscape|The Gospel of John|Waterloo|Aces High|National Treasure|The Insider|Wolf|Malcolm X|Jesus of Nazareth|Ararat|The Fall of the Roman Empire|Star Trek VI: The Undiscovered Country|Somewhere in Time|Battle of Britain|Darkness|Alexander
Meg Ryan;Restoration|Armed and Dangerous|Top Gun|Promised Land|The Doors|When a Man Loves a Woman|Anastasia|Kate & Leopold|French Kiss|Addicted to Love|You've Got Mail
Evanna Lynch;Harry Potter and the Half-Blood Prince|Harry Potter and the Order of the Phoenix
Will Ferrell;Elf|Anchorman: The Legend of Ron Burgundy|Old School|Austin Powers:The Spy Who Shagged Me
Aldo Ray;The Green Berets|Battle Cry
Jeffrey Hunter;The Searchers|King of Kings
Jerry Haleva;Hot Shots! Part Deux|Live from Baghdad|Hot Shots! Part Deux
Gig Young;Teacher's Pet|They Shoot Horses, Don't They?|The Hindenburg
Richard Jordan;Dune|Romero|Posse|Gettysburg
Orangey;This Island Earth|Breakfast at Tiffany's
Marcia Gay Harden;Crush|Miller's Crossing|Mystic River|Pollock
R.G. Armstrong;Dick Tracy|El Dorado
Michael Palin;Jabberwocky|The Rutles|Brazil
Toni Collette;Shaft|Muriel's Wedding
Ewen Bremner;AVP: Alien vs. Predator|Trainspotting|Pearl Harbor
Randy Quaid;Vacation|Independence Day|Category 6: Day of Destruction|What's Up, Doc?|Midnight Express|Paper Moon|National Lampoon's Christmas Vacation
Ben Stiller;There's Something About Mary|Orange County|Starsky & Hutch|Dodgeball: A True Underdog Story|Anchorman: The Legend of Ron Burgundy|Madagascar|Heavy Weights|Black and White
Sylvester Stallone;Cliffhanger|Bananas|Daylight|An Alan Smithee Film: Burn Hollywood Burn|Cobra|F.I.S.T|Rambo: First Blood Part II|Demolition Man
Sophia Loren;El Cid|Quo Vadis|The Fall of the Roman Empire|Bocaccio '70
Masaharu Sato;Burn Up!! A Close, Intense, Super-Fierce Battle|Rebirth of Fusion!! Goku and Vegeta!!
Ethan Embry;That Thing You Do!|Timeline|Can't Hardly Wait|Sweet Home Alabama
Mandy Moore;The Princess Diaries|Saved!|Rapunzel
Wendy Crewson;The Good Son|At the End of the Day: The Sue Rodriguez Story|Air Force One
David Field;Chopper|Chopper
Andrew Wilson;Rushmore|The Big Bounce|Bottle Rocket
Tony Plana;Salvador|Â¡Three Amigos!|El Norte|Romero
Oliver Reed;Tommy|I'll Never Forget What's 'Isname|Castaway|Women in Love|The Devils
Marla Sokoloff;Sugar & Spice|Dude, Where's My Car?|The Baby-Sitters Club
George Dzundza;Crimson Tide|The Beast|No Way Out
Amrish Puri;Gandhi|Dilwale Dulhaniy Le Jayenge
Walter Abel;Holiday Inn|So Proudly We Hail!|Fury
Trevor Howard;Ryan's Daughter|Von Ryan's Express|Battle of Britain
Richard Romanus;Wizards|Heavy Metal
Heather Locklear;Looney Tunes: Back in Action|Wayne's World 2
Harold Perrineau Jr.;Romeo + Juliet|The Edge
Richard Moll;The Flintstones|But I'm a Cheerleader|Caveman
Guy Pearce;The Count of Monte Cristo|The Adventures of Priscilla, Queen of the Desert|Rules of Engagement
Martin Sheen;Gandhi|Enigma|Hearts of Darkness: A Filmmakers's Apocalypse|Gettysburg|The American President|Wall Street|O|Monument Ave.|Badlands|The War at Home|The Dead Zone|Spawn
Fay Wray;Viva Villa!|Thunderbolt|King Kong
Paul Dillon;Austin Powers: International Man of Mystery|Blink
Bobby Di Cicco;1941|Splash|The Philadelphia Experiment
Joan Weldon;Them!|Them!
Michael Ironside;Starship Troopers|Top Gun
Ian McNeice;White Noise|Around the World in 80 Days|Dune|Ace Ventura: When Nature Calls|Conspiracy|Children of Dune
Harry Morgan;How the West Was Won|State Fair|Strategic Air Command
Delroy Lindo;Malcolm X|The Devil's Advocate|Gone in Sixty Seconds|Heist|Ransom|The One|Sahara|Broken Arrow|Domino
Mary Beth Hurt;Affliction|Six Degrees of Separation
Freddie Highmore;Charlie and the Chocolate Factory|The Golden Compass
David Manners;Dracula|The Mummy
Marlee Matlin;What the #$*! Do We Know!?|Walker
Derek Lamb;Ryan|Ryan
Adriano Giannini;Sinbad: Legend of the Seven Seas|Swept Away
Michael O'Hare;Babylon 5: The Gathering|C.H.U.D.
Henry Travers;It's a Wonderful Life|Madame Curie
Brian McCardie;Rob Roy|Speed 2: Cruise Control
Alyson Stoner;Cheaper by the Dozen|Garfield
Liam Aiken;Good Boy!|Lemony Snicket's A Series of Unfortunate Events
Wesley Snipes;Mo' Better Blues|Major League|Blade: Trinity|Demolition Man|To Wong Foo, Thanks for Everything! Julie Newmar|Blade
Carroll Baker;Giant|How the West Was Won
Karen Black;Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean|Easy Rider
Kimberly Williams;The War at Home|Father of the Bride
Joanne Woodward;Philadelphia|Mr. & Mrs. Bridge|Sybil|Summer Wishes, Winter Dreams
Vincent Price;House of Wax|Shock|The Song of Bernadette|Laura|The Raven|The Fly|Dr. Phibes Rises Again|Dead Men Don't Wear Plaid|Wilson|Witchfinder General
Nikolai Grinko;Solaris|Andrei Rublev|Stalker
Leon Niemczyk;Knife in the Water|Heroism|Knife in the Water
Britt Ekland;Percy|Scandal
Toshio Furukawa;Clash!! 10,000,000,000 Powerful Warriors|Dead Zone|Burn Up!! A Close, Intense, Super-Fierce Battle
Brendan Fraser;Dogfight|Bedazzled|Looney Tunes: Back in Action|The Mummy
Mark Williams;Harry Potter and the Half-Blood Prince|Harry Potter and the Chamber of Secrets|Harry Potter and the Goblet of Fire|Harry Potter and the Prisoner of Azkaban
Jeremy Blackman;Magnolia|Magnolia
Bruce Cabot;The Green Berets|Dodge City|King Kong|Fury
Otto Wernicke;Das Testament des Dr. Mabuse|M|Kolberg
Steve Forrest;Sahara|The Longest Day
Tayva Patch;Brigham City|Brigham City
Isaac Hayes;South Park: Bigger, Longer & Uncut|I'm Gonna Git You Sucka|Flipper|Robin Hood: Men in Tights
Liev Schreiber;Party Girl|Sphere|The Manchurian Candidate|Kate & Leopold|Hamlet|Scream|The Hurricane
John Hodiak;Battleground|Lifeboat
Vincent Gallo;Buffalo '66|The Funeral
Rade Serbedzija;The Saint|Stigmata|Snatch
Steve Buscemi;Pulp Fiction|Ghost World|The Island|Big Daddy|Tales from the Darkside: The Movie|Miller's Crossing|Armageddon|Desperado|John Carpenter's Escape from L.A.|Final Fantasy: The Spirits Within|Fargo
Jeff Daniels;Arachnophobia|Welcome Home, Roxy Carmichael|Dumb & Dumber|Speed|Gettysburg|Cheaters|Something Wild
Joseph Mazzello;Jurassic Park|Radio Flyer
Nathan Lane;The Lion King II: Simba's Pride|The Lion King 1Â½|Love's Labour's Lost|Win a Date with Tad Hamilton!
Henry Thomas;E.T. the Extra-Terrestrial|Cloak & Dagger
Dana Barron;Python|Vacation
Annette O'Toole;The Dreamer of Oz: The L. Frank Baum Story|Cat People|It
Andre Braugher;Glory|Primal Fear|Frequency
Troy Garity;Barbershop|Barbershop 2: Back in Business
Warren Beatty;Dick Tracy|McCabe & Mrs. Miller|Shampoo|Ishtar|Heaven Can Wait|Bonnie and Clyde
Mo'Nique Imes-Jackson;Baby Boy|Domino
Rachael Leigh Cook;Final Fantasy VII: Advent Children|She's All That|Antitrust|Batman Beyond: Return of the Joker|The Baby-Sitters Club|Josie and the Pussycats
Lloyd Bridges;Honey, I Blew Up the Kid|Tucker: The Man and His Dream|Cousins|Airplane!|Hot Shots! Part Deux|Sahara|Hot Shots!
Doris Belack;Doug's 1st Movie|Doug's 1st Movie
Arthur Jasmine;Salome|Salome
Gene Wilder;Silver Streak|Willy Wonka & the Chocolate Factory|The Producers|Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)
Larry Bryggman;...And Justice for All|Die Hard: With a Vengeance
Craig Kilborn;Old School|Cursed
Amy Irving;Micki + Maude|An American Tail: Fievel Goes West|Hide and Seek
Christina Ricci;Sleepy Hollow|Monster|Buffalo '66|Mermaids|Casper|Cursed
Ingrid Thulin;Wild Strawberries|The Damned
Timothy Bateson;Labyrinth|Harry Potter and the Order of the Phoenix
Drea de Matteo;Assault on Precinct 13|Prey for Rock & Roll
Ulla Jacobsson;Zulu|Zulu
Chad Everett;Mulholland Drive|Fever Pitch
John Hurt;The Lord of the Rings|The Elephant Man|The Black Cauldron|1984|Harry Potter and the Philosopher's Stone|Scandal|Midnight Express|The Osterman Weekend|Watership Down|Rob Roy|Contact|Heaven's Gate
Thomas G. Waites;John Carpenter's The Thing|...And Justice for All|The Clan of the Cave Bear
Jean-Louis Trintignant;And God Created Woman|Z|Three Colors: Red|The Libertine
Dwight Frye;Dracula|Frankenstein
Brian Blessed;Henry V|Robin Hood: Prince of Thieves|Hamlet|Alexander
Hazel Brooks;Body and Soul|Body and Soul
Remak Ramsay;Addicted to Love|Mr. & Mrs. Bridge
Patrick Warburton;Chicken Little|The Emperor's New Groove
Emily Watson;Red Dragon|Equilibrium
Stuart Buchanan;Snow White and the Seven Dwarfs|Donald's Cousin Gus
Carroll O'Connor;Kelly's Heroes|Point Blank
Gene Barry;The War of the Worlds|War of the Worlds
Harry Shearer;Chicken Little|Godzilla
Alexis Arquette;She's All That|Of Mice and Men
Julia Stiles;The Bourne Supremacy|O|Hamlet|The Bourne Identity
