Actor;Movies
Alan King;Cat's Eye|Casino
Jennifer Coolidge;The Broken Hearts Club: A Romantic Comedy|Legally Blonde 2: Red, White & Blonde|Lemony Snicket's A Series of Unfortunate Events|Down to Earth|Robots
Jason London;Out Cold|To Wong Foo, Thanks for Everything! Julie Newmar|Greed|Dazed and Confused
Vanessa L. Williams;Soul Food|The Jacksons: An American Dream|Eraser|Shaft
Joan Collins;Tales from the Crypt|Island in the Sun
Eric Idle;An Alan Smithee Film: Burn Hollywood Burn|Delgo|The Rutles|South Park: Bigger, Longer & Uncut|Casper
Elizabeth McGovern;Ragtime|King of the Hill|She's Having a Baby
Don Rickles;Dirty Work|Kelly's Heroes|X|Casino
Betty Field;Of Mice and Men|Picnic|Bus Stop
Peter Graves;The Night of the Hunter|Mission: Impossible|Airplane!
Michael Graham Cox;The Lord of the Rings|Watership Down
Ben Stein;The Mask|Ferris Bueller's Day Off|Casper
Ray Park;Ballistic: Ecks vs. Sever|Star Wars Episode I: The Phantom Menace|Mortal Kombat: Annihilation|X-Men
Charles S. Dutton;Mimic|Aftershock: Earthquake in New York|Cat's Eye|Rudy
Elsa Lanchester;Mary Poppins|That Darn Cat!
Larry Miller;Chairman of the Board|Max Keeble's Big Move|The Princess Diaries
Sean Pertwee;Event Horizon|Soldier|Equilibrium
Miko Hughes;Apollo 13|Wes Craven's New Nightmare|Spawn
Richard Eyer;Friendly Persuasion|Friendly Persuasion
Portia de Rossi;Sirens|Cursed
Judy Greer;The Village|Adaptation|Three Kings|Cursed
Robert Wuhl;Batman|Cobb
Mira Sorvino;The Final Cut|Mimic|Barcelona|Romy and Michele's High School Reunion
James Gleason;The Bishop's Wife|The Night of the Hunter|Suddenly|Arsenic and Old Lace
Eve;Barbershop 2: Back in Business|Barbershop
Howard Da Silva;Abe Lincoln in Illinois|M
Jack Albertson;Willy Wonka & the Chocolate Factory|The Fox and the Hound|The Poseidon Adventure
Jessica Alba;Fantastic Four|Sin City|Honey
Don Cheadle;Traffic|Swordfish|Volcano|Ocean's Twelve
Marilyn Monroe;Bus Stop|The Misfits
Bud Cort;Dogma|But I'm a Cheerleader|MASH|Pollock
Adam Sandler;Dirty Work|Spanglish|Little Nicky|Anger Management|Bulletproof|Big Daddy
Abigail Breslin;The Princess Diaries 2: Royal Engagement|Signs
Hallee Hirsh;You've Got Mail|Speak
Ray Wise;Dead End|Twin Peaks: Fire Walk With Me
Leslie Cheung;Happy Together|Rouge|He's a Woman, She's a Man|Double Tap|The Kid|All's Well, Ends Well Too|Once a Thief|All's Well, Ends Well
Rose Dione;Salome|Salome
Joseph Morgan;Master and Commander: The Far Side of the World|Alexander
Bai Ling;The Crow|Nixon
Gwyneth Paltrow;Hard Eight|Austin Powers: Goldmember|Sylvia|Mrs. Parker and the Vicious Circle|Possession|The Talented Mr. Ripley|Hook
Nanako Matsushima;Whiteout|Ring
John DeMita;Laputa: Castle in the Sky|Kiki's Delivery Service|Final Fantasy: The Spirits Within
Dean Stockwell;The Rainmaker|Dune|Tucker: The Man and His Dream|Batman Beyond: Return of the Joker|Air Force One
Kathryn Grayson;Anchors Aweigh|Show Boat
Shelley Duvall;Roxanne|The Shining|Nashville|Popeye|Home Fries
Nastassja Kinski;Fathers' Day|Paris, Texas|Savior|Cat People
Shannon Lee;High Voltage|Dragon: The Bruce Lee Story
Cara Seymour;You've Got Mail|Adaptation
Charlie Hunnam;Whatever Happened to Harold Smith?|Cold Mountain
Carole Shelley;Robin Hood|Hercules
Patrick Macnee;The Avengers|The Battle of the River Plate|Scrooge
Sienna Guillory;Resident Evil: Apocalypse|Eragon
Smita Jaykar;Mujhse Dosti Karoge!|Mujhse Dosti Karoge!
Billie Burke;Topper|Swing Out, Sister|The Wizard of Oz
William Bendix;Lifeboat|Wake Island
Robby Benson;Beauty and the Beast: The Enchanted Christmas|Beauty and the Beast
Tommy Lee Jones;Man of the House|Cobb|Men in Black|JFK|Volcano|Heaven & Earth|Double Jeopardy|The Hunted|Coal Miner's Daughter|Rules of Engagement
David Tennant;Jude|Harry Potter and the Goblet of Fire
Aidan Quinn;The Mission|Michael Collins|Avalon|Benny & Joon|Blink
Masako Nozawa;Clash!! 10,000,000,000 Powerful Warriors|A Lonesome, Final Battle: The Father of Z-Warrior Son Goku, who Challenged Freeza|Dead Zone|Rebirth of Fusion!! Goku and Vegeta!!|Burn Up!! A Close, Intense, Super-Fierce Battle
Valentina Cortese;Jesus of Nazareth|Day for Night
Nigel Green;Zulu|Tobruk
Walter Brennan;How the West Was Won|Rio Bravo|Red River|Come and Get It|Kentucky|Fury
Sean Bean;Ronin|The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King|The Island|National Treasure|Troy|Caravaggio|The Lord of the Rings: The Two Towers|Don't Say a Word|Equilibrium
Kate Bosworth;Beyond the Sea|Win a Date with Tad Hamilton!|The Rules of Attraction
Snoop Dogg;Starsky & Hutch|The Wash|Baby Boy
Dean Jagger;Brigham Young|Twelve O'Clock High|Vanishing Point
Cecil Kellaway;Guess Who's Coming to Dinner|The Beast from 20,000 Fathoms|Love Letters
Jennifer Jones;Gone to Earth|Beat the Devil|Love Is a Many-Splendored Thing|Love Letters|The Song of Bernadette
Paul Muni;Scarface|Juarez|The Good Earth
Francesca Annis;Dune|Macbeth
Paul Reiser;Aliens|Diner
Eric Walker;Ewoks: The Battle for Endor|Caravan of Courage: An Ewok Adventure
Wendie Malick;The American President|The Emperor's New Groove
John Turturro;State of Grace|Fearless|Anger Management|O Brother, Where Art Thou?|Miller's Crossing|Collateral Damage|Rounders
Wendy Hiller;The Elephant Man|I Know Where I'm Going!
Vernon Wells;Weird Science|Commando|Mad Max 2: The Road Warrior|Mad Max 2: The Road Warrior
Rochelle Hudson;Sinkin' in the Bathtub|Les Miserables
