ID	Label	Longitud	Latidud
1	CH	7.466667	46.916666666666664
2	DE	13.400000	52.516666666666666
3	FR	2.333333	48.86666666666667
4	CA	-75.700000	45.416666666666664
5	NZ	174.783333	-41.3
6	US	-77.000000	38.883333
7	SE	18.050000	59.333333333333336
8	GB	-0.083333	51.5
9	CD	15.300000	-4.316666666666666
10	BW	25.900000	-24.633333333333333
11	KE	36.816667	-1.2833333333333332
12	PT	-9.133333	38.71666666666667
13	ZA	28.216667	-25.7
14	FI	24.933333	60.166666666666664
15	BE	4.333333	50.833333333333336
16	DK	12.583333	55.666666666666664
17	TH	100.516667	13.75
18	NL	4.916667	52.35
19	NI	-86.250000	12.133333333333333
20	PY	-57.666667	-25.266666666666666
21	BM	-64.783333	32.28333333333333
22	CR	-84.083333	9.933333333333334
23	IN	77.200000	28.6
24	PG	147.183333	-9.45
25	IT	12.483333	41.9
26	GR	23.733333	37.983333333333334
27	JP	139.750000	35.68333333333333
28	LR	-10.800000	6.3
29	NC	166.450000	-22.266666666666666
30	PH	120.966667	14.6
31	GH	-0.216667	5.55
32	SC	55.450000	-4.616666666666667
